circuit_id,givenName,familyName,wins
2022_1,Charles,Leclerc,1
2022_10,Carlos,Sainz,1
2022_11,Charles,Leclerc,1
2022_12,Max,Verstappen,1
2022_13,Max,Verstappen,1
2022_14,Max,Verstappen,1
2022_15,Max,Verstappen,1
2022_16,Max,Verstappen,1
2022_17,Sergio,Pérez,1
2022_18,Max,Verstappen,1
2022_19,Max,Verstappen,1
2022_2,Max,Verstappen,1
2022_20,Max,Verstappen,1
2022_21,George,Russell,1
2022_22,Max,Verstappen,1
2022_3,Charles,Leclerc,1
2022_4,Max,Verstappen,1
2022_5,Max,Verstappen,1
2022_6,Max,Verstappen,1
2022_7,Sergio,Pérez,1
2022_8,Max,Verstappen,1
2022_9,Max,Verstappen,1
2023_1,Max,Verstappen,1
2023_10,Max,Verstappen,1
2023_11,Max,Verstappen,1
2023_12,Max,Verstappen,1
2023_13,Max,Verstappen,1
2023_14,Max,Verstappen,1
2023_15,Carlos,Sainz,1
2023_16,Max,Verstappen,1
2023_17,Max,Verstappen,1
2023_18,Max,Verstappen,1
2023_19,Max,Verstappen,1
2023_2,Sergio,Pérez,1
2023_20,Max,Verstappen,1
2023_21,Max,Verstappen,1
2023_22,Max,Verstappen,1
2023_3,Max,Verstappen,1
2023_4,Sergio,Pérez,1
2023_5,Max,Verstappen,1
2023_6,Max,Verstappen,1
2023_7,Max,Verstappen,1
2023_8,Max,Verstappen,1
2023_9,Max,Verstappen,1
2024_1,Max,Verstappen,1
2024_10,Max,Verstappen,1
2024_11,George,Russell,1
2024_12,Lewis,Hamilton,1
2024_13,Oscar,Piastri,1
2024_14,Lewis,Hamilton,1
2024_15,Lando,Norris,1
2024_16,Charles,Leclerc,1
2024_17,Oscar,Piastri,1
2024_18,Lando,Norris,1
2024_19,Charles,Leclerc,1
2024_2,Max,Verstappen,1
2024_20,Carlos,Sainz,1
2024_21,Max,Verstappen,1
2024_22,George,Russell,1
2024_23,Max,Verstappen,1
2024_24,Lando,Norris,1
2024_3,Carlos,Sainz,1
2024_4,Max,Verstappen,1
2024_5,Max,Verstappen,1
2024_6,Lando,Norris,1
2024_7,Max,Verstappen,1
2024_8,Charles,Leclerc,1
2024_9,Max,Verstappen,1
2025_1,Lando,Norris,1
2025_10,George,Russell,1
2025_11,Lando,Norris,1
2025_12,Lando,Norris,1
2025_13,Oscar,Piastri,1
2025_14,Lando,Norris,1
2025_15,Oscar,Piastri,1
2025_16,Max,Verstappen,1
2025_17,Max,Verstappen,1
2025_18,George,Russell,1
2025_19,Max,Verstappen,1
2025_2,Oscar,Piastri,1
2025_3,Max,Verstappen,1
2025_4,Oscar,Piastri,1
2025_5,Oscar,Piastri,1
2025_6,Oscar,Piastri,1
2025_7,Max,Verstappen,1
2025_8,Lando,Norris,1
2025_9,Oscar,Piastri,1
